sample_id	signature_id	programme_label	score
decidua_induced abortion_rep1	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	-0.400316654978292
decidua_induced abortion_rep2	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	0.659615937254978
decidua_induced abortion_rep3	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	-0.681811466238332
decidua_recurrent spontaneous abortion_rep1	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	0.40991460441533
decidua_recurrent spontaneous abortion_rep2	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	0.0540503971106847
decidua_recurrent spontaneous abortion_rep3	GSE214607_RM_decidua_inflammatory_macrophage_APC_up	RM decidua inflammatory macrophage/APC programme up	-0.041452817564369
decidua_induced abortion_rep1	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.17358517254934
decidua_induced abortion_rep2	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	0.0908565970318604
decidua_induced abortion_rep3	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.226517408328826
decidua_recurrent spontaneous abortion_rep1	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.217048424107975
decidua_recurrent spontaneous abortion_rep2	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	-0.0552578796147798
decidua_recurrent spontaneous abortion_rep3	GSE214607_decidua_immune_stromal_identity_up	Decidua-enriched immune/stromal identity programme	0.581552287569061
decidua_induced abortion_rep1	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	-0.720087937104645
decidua_induced abortion_rep2	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	0.443403794996244
decidua_induced abortion_rep3	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	-0.332115929772784
decidua_recurrent spontaneous abortion_rep1	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	0.236008759270049
decidua_recurrent spontaneous abortion_rep2	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	0.677599871545073
decidua_recurrent spontaneous abortion_rep3	GSE214607_villi_trophoblast_epithelial_identity_up	Villi-enriched trophoblast/epithelial identity programme	-0.304808558933938
decidua_induced abortion_rep1	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	-0.751518144040215
decidua_induced abortion_rep2	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	0.569247040490154
decidua_induced abortion_rep3	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	-0.18504860278127
decidua_recurrent spontaneous abortion_rep1	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	0.0434861719849425
decidua_recurrent spontaneous abortion_rep2	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	0.18328509111489
decidua_recurrent spontaneous abortion_rep3	GSE214607_RM_villi_structural_trophoblast_down	RM villi reduced structural/trophoblast-associated programme	0.140548443231498
