dataset_id	geo_sample	sample_prefix	diagnosis	tissue_source	donor_or_gestation_code	replicate	n_cells	median_counts	median_features	mean_counts	mean_features	pct_lt_200_features	pct_lt_500_features	pct_ge_500_features
GSE214607	GSM6613031	GSM6613031_NC_D6_rep1	Control	Decidua	D6	rep1	10082	6756.5	2217	10799.5631819084	2457.08450704225	1.57706804205515	10.6228922832771	89.3771077167229
GSE214607	GSM6613032	GSM6613032_NC_D7_rep1	Control	Decidua	D7	rep1	10505	5784	2050	10117.8459781057	2412.96496906235	1.38981437410757	8.26273203236554	91.7372679676345
GSE214607	GSM6613033	GSM6613033_NC_D7_rep2	Control	Decidua	D7	rep2	4251	6219	2214	12982.664314279	2626.8278052223	2.54057868736768	17.0312867560574	82.9687132439426
GSE214607	GSM6613034	GSM6613034_NC_D8_rep1	Control	Decidua	D8	rep1	11394	4549	1856	6790.42460944357	2084.1018957346	0.710900473933649	5.98560645954011	94.0143935404599
GSE214607	GSM6613035	GSM6613035_NC_D8_rep2	Control	Decidua	D8	rep2	5996	5722.5	2222	10464.063042028	2580.54536357572	1.40093395597065	8.75583722481654	91.2441627751835
GSE214607	GSM6613036	GSM6613036_NC_V6_rep1	Control	Villi	V6	rep1	9250	8023.5	2283	11379.6098378378	2445.05632432432	2.17297297297297	9.67567567567568	90.3243243243243
GSE214607	GSM6613037	GSM6613037_NC_V7_rep1	Control	Villi	V7	rep1	9813	5597	1737	9861.64597982268	2167.45979822684	0.0917150718434729	8.32569041067971	91.6743095893203
GSE214607	GSM6613038	GSM6613038_NC_V7_rep2	Control	Villi	V7	rep2	3648	5717.5	1686.5	16551.1430921053	2329.66584429825	5.26315789473684	21.9024122807018	78.0975877192983
GSE214607	GSM6613039	GSM6613039_NC_V8_rep1	Control	Villi	V8	rep1	9246	5764.5	1967	12206.8238157041	2428.57884490591	3.70971230802509	13.443651308674	86.556348691326
GSE214607	GSM6613040	GSM6613040_NC_V8_rep2	Control	Villi	V8	rep2	3722	6219.5	1833	18827.9161740999	2868.95217624933	3.0628694250403	18.3772165502418	81.6227834497582
GSE214607	GSM6613041	GSM6613041_RM_D6_rep1	RM	Decidua	D6	rep1	5819	5295	2071	9371.57690324798	2333.6817322564	1.18577075098814	13.3528097611273	86.6471902388727
GSE214607	GSM6613042	GSM6613042_RM_D7_rep1	RM	Decidua	D7	rep1	12417	5166	1977	7996.47434968189	2191.45163888218	0.434887654022711	8.27897237658049	91.7210276234195
GSE214607	GSM6613043	GSM6613043_RM_D8_rep1	RM	Decidua	D8	rep1	12555	4886	1828	10550.8355236957	2281.12616487455	0.50179211469534	11.1350059737157	88.8649940262844
GSE214607	GSM6613044	GSM6613044_RM_V6_rep1	RM	Villi	V6	rep1	7448	3541	1293	10148.759264232	2108.30867346939	0.537056928034372	14.0037593984962	85.9962406015038
GSE214607	GSM6613045	GSM6613045_RM_V7_rep1	RM	Villi	V7	rep1	14801	4215	1755	7012.30200662117	2009.74920613472	0.358083913249105	7.69542598473076	92.3045740152692
GSE214607	GSM6613046	GSM6613046_RM_V8_rep1	RM	Villi	V8	rep1	8628	5096	1730.5	12293.5412610107	2329.57997218359	2.92072322670376	13.3055169216504	86.6944830783496
