sample_prefix	dataset_id	geo_sample	diagnosis	tissue_source	donor_or_gestation_code	replicate	pseudobulk_total_counts	pseudobulk_detected_genes	n_cells_used
GSM6613031_NC_D6_rep1	GSE214607	GSM6613031	Control	Decidua	D6	rep1	107980824	25558	9011
GSM6613032_NC_D7_rep1	GSE214607	GSM6613032	Control	Decidua	D7	rep1	105568416	26245	9637
GSM6613033_NC_D7_rep2	GSE214607	GSM6613033	Control	Decidua	D7	rep2	54566304	25291	3527
GSM6613034_NC_D8_rep1	GSE214607	GSM6613034	Control	Decidua	D8	rep1	76832244	25792	10712
GSM6613035_NC_D8_rep2	GSE214607	GSM6613035	Control	Decidua	D8	rep2	62290701	25542	5471
GSM6613036_NC_V6_rep1	GSE214607	GSM6613036	Control	Villi	V6	rep1	104262671	24912	8355
GSM6613037_NC_V7_rep1	GSE214607	GSM6613037	Control	Villi	V7	rep1	95860915	24469	8996
GSM6613038_NC_V7_rep2	GSE214607	GSM6613038	Control	Villi	V7	rep2	59318608	24376	2849
GSM6613039_NC_V8_rep1	GSE214607	GSM6613039	Control	Villi	V8	rep1	111561512	25323	8003
GSM6613040_NC_V8_rep2	GSE214607	GSM6613040	Control	Villi	V8	rep2	69250513	23465	3038
GSM6613041_RM_D6_rep1	GSE214607	GSM6613041	RM	Decidua	D6	rep1	53918915	25563	5042
GSM6613042_RM_D7_rep1	GSE214607	GSM6613042	RM	Decidua	D7	rep1	98495355	25645	11389
GSM6613043_RM_D8_rep1	GSE214607	GSM6613043	RM	Decidua	D8	rep1	131414718	25595	11157
GSM6613044_RM_V6_rep1	GSE214607	GSM6613044	RM	Villi	V6	rep1	74709846	24541	6405
GSM6613045_RM_V7_rep1	GSE214607	GSM6613045	RM	Villi	V7	rep1	102960294	26000	13662
GSM6613046_RM_V8_rep1	GSE214607	GSM6613046	RM	Villi	V8	rep1	104835118	25882	7480
